session_id,pid,session_index,gmm_label,max_posterior,normalized_entropy,log_likelihood_row,posterior_cluster_0,posterior_cluster_1,posterior_cluster_2,posterior_cluster_3,posterior_cluster_4
p2767_s0003,p2767,3,3,0.9999726209699608,0.00020155541197422163,-5.534682514868203,2.4420543049737435e-05,6.306418217846647e-81,2.9584869893010608e-06,0.9999726209699608,2.3602862911312348e-18
p2767_s0004,p2767,4,3,0.9995212318150561,0.002571393813320854,-10.676997120480474,0.00047876816528780235,1.158087989825823e-110,1.965617070998396e-11,0.9995212318150561,2.04414175584135e-30
p2767_s0005,p2767,5,3,0.9999697921499086,0.0002141076574799299,-6.175584475443356,3.0207841061314412e-05,1.6101643706297951e-127,9.030155450200592e-12,0.9999697921499086,6.576773832044391e-20
p2767_s0006,p2767,6,3,0.9999132591494199,0.0005579516907956493,-7.718930403125008,8.67408332477453e-05,1.0941319043863868e-107,1.7328119570712504e-11,0.9999132591494199,4.715796313880368e-15
p2767_s0007,p2767,7,3,0.9998822803245221,0.0007349100139833159,-7.2632227075091675,0.00011771565932936576,8.996139014661981e-137,2.2596149943504355e-13,0.9998822803245221,4.015922158891353e-09
p2768_s0001,p2768,1,4,0.9999967002655761,2.9296478767366178e-05,-4.85673348760357,1.2784026574405873e-06,1.2708367992681113e-117,1.0204136777158108e-11,2.021321562079004e-06,0.9999967002655761
p2768_s0002,p2768,2,3,0.9982352544386239,0.008047052243510083,-13.047818873041834,0.0017647455612085322,3.698742767191385e-126,1.676541808978588e-13,0.9982352544386239,9.95675199372562e-34
p2768_s0003,p2768,3,2,0.999861865946217,0.0008579590630000062,-6.658327842128693,3.1625406023506406e-06,4.147084089367378e-48,0.999861865946217,0.00013497151318047265,5.3495156590884444e-27
p2768_s0004,p2768,4,3,0.9999882065627347,9.32472834692343e-05,-4.627874219705552,1.0315457386951427e-05,2.1503378397139175e-111,1.477979878317506e-06,0.9999882065627347,1.4175142135785603e-17
p2768_s0005,p2768,5,3,0.9988579841637156,0.00602166410857466,-6.243907877103915,0.00026780753185856403,2.015398831695151e-93,0.0008244223062175063,0.9988579841637156,4.978599820835186e-05
p2769_s0001,p2769,1,1,0.9999999630684602,4.1569218772149084e-07,-13.129851897401888,3.692700715098444e-08,0.9999999630684602,4.515133459385928e-12,9.313305557465691e-15,8.176638172584254e-15
p2770_s0001,p2770,1,4,0.9999637751779016,0.0002548818396344529,-4.7880503198817035,7.281793435693741e-07,1.529809496987909e-122,1.6690481519371228e-13,3.549664258764167e-05,0.9999637751779016
p2770_s0002,p2770,2,3,0.9999605949174372,0.00027278810810628704,-5.634150924916646,3.940508198103869e-05,3.858803459107867e-145,5.773377525156858e-13,0.9999605949174372,4.300205586120459e-15
p2770_s0003,p2770,3,3,0.9999839163101013,0.00012030463505081383,-4.371872251569749,1.6082526255811545e-05,1.4958602656049848e-127,1.1636117558434928e-09,0.9999839163101013,3.1635544486660276e-14
p2770_s0004,p2770,4,3,0.9352711217697445,0.1493203747096771,-5.116780909232334,6.827580396908969e-05,3.1154024670306814e-88,0.06466060242628156,0.9352711217697445,5.099823832065355e-15
p2770_s0005,p2770,5,2,0.9998586756479175,0.0008706336480428424,-3.6262713693573447,1.2497921679929856e-06,9.668415173824284e-69,0.9998586756479175,0.00014007455991451448,2.702264664055317e-21
