session_id,pid,session_index,gmm_label,max_posterior,normalized_entropy,log_likelihood_row,posterior_cluster_0,posterior_cluster_1,posterior_cluster_2,posterior_cluster_3
p8415_s0001,p8415,1,1,0.9999843333484205,0.00013988353758681124,-8.063095257810431,1.4879473988947825e-06,0.9999843333484205,1.0564635197453742e-91,1.4178704181447608e-05
p8415_s0002,p8415,2,2,0.9999999999319806,1.2066967221256247e-09,-4.170922225665253,3.052153618297552e-13,2.4256557763702832e-12,0.9999999999319806,6.528817045217619e-11
p8415_s0003,p8415,3,1,0.9558274565514104,0.1309946020839407,-7.291728797190439,0.04408827337934333,0.9558274565514104,1.228324648807385e-69,8.427006924592521e-05
p8415_s0004,p8415,4,1,0.9999696418678179,0.0002497066148559466,-7.15112289747957,9.079230336054892e-10,0.9999696418678179,2.8662785801955694e-104,3.0357224259132515e-05
p8416_s0001,p8416,1,1,0.999964686272492,0.00028664333511993153,-8.869900838937106,5.0191158322671955e-09,0.999964686272492,1.8666372306552306e-118,3.5308708392285174e-05
p8416_s0002,p8416,2,0,0.9979902917258543,0.010473287929647239,-4.312820159218534,0.9979902917258543,0.0020052733560087257,2.534659125697002e-53,4.434918136796295e-06
p8416_s0003,p8416,3,0,0.9358760335419293,0.17193576368856728,-4.824210813652171,0.9358760335419293,0.0641033446905642,1.6260045214548133e-80,2.0621767506381073e-05
p8416_s0004,p8416,4,0,0.9998709061122355,0.0009308610065053147,-4.235213585126346,0.9998709061122355,0.00012820120725424048,1.862787133226395e-66,8.926805100228871e-07
p8416_s0005,p8416,5,1,0.9999692340497927,0.0002527578699071284,-5.862809888134676,5.163465986892774e-11,0.9999692340497927,1.3282749826349506e-140,3.076589857290948e-05
p8416_s0006,p8416,6,1,0.9999509817478086,0.0003862388592584566,-7.039680355333073,2.8140433512517377e-13,0.9999509817478086,2.295684225907202e-150,4.9018251910381725e-05
p8416_s0007,p8416,7,1,0.9969772251295338,0.015008849211650447,-5.792282587475611,0.0029735245963471457,0.9969772251295338,5.947626378232253e-94,4.925027411893138e-05
p8416_s0008,p8416,8,1,0.999914883668716,0.0006710409564675779,-4.735801987051681,2.0933599113202433e-05,0.999914883668716,3.8166429930035145e-123,6.41827321711145e-05
p8416_s0009,p8416,9,1,0.9999635265471445,0.00029516991562132623,-6.178151190577083,5.414994871949685e-12,0.9999635265471445,5.130654209217277e-148,3.6473447440501426e-05
p8416_s0010,p8416,10,0,0.9995450197379585,0.0028652829896987134,-4.312456185496691,0.9995450197379585,0.0004523728567922197,3.968126871624545e-57,2.607405249506691e-06
p8416_s0011,p8416,11,1,0.9999812399324314,0.0001610604607636217,-5.175872308778523,4.841136163305022e-08,0.9999812399324314,3.623980826120699e-125,1.8711656207315463e-05
p8416_s0012,p8416,12,1,0.999981068298859,0.00016235276424045653,-5.197504207606261,3.5942058910106796e-08,0.999981068298859,3.762198582783008e-126,1.889575908214873e-05
p8416_s0013,p8416,13,0,0.9999651943144001,0.0002863539223831757,-5.114218252697909,0.9999651943144001,3.371221482498685e-05,1.0729830014806116e-55,1.0934707745035105e-06
p8416_s0014,p8416,14,0,0.9999571667851582,0.00034510489077876845,-4.8871527230053005,0.9999571667851582,4.1829405010774364e-05,8.186367522995592e-58,1.0038098309741272e-06
p8416_s0015,p8416,15,0,0.9999557182890497,0.00035545423234145733,-4.7449388204836564,0.9999557182890497,4.3338897827667915e-05,5.718981388803873e-59,9.428131227638426e-07
